date,house3_average,house3_max,house3_min,house3_median,house4_average,house4_max,house4_min,house4_median,house3solar_average,house3solar_max,house3solar_min,house3solar_median
2023-06-05,1021.0893390100625,3482.2,487.8666666666666,837.7533333333333,1079.592916407356,4180.013333333332,-1006.16,673.137619047619,159.1094034010382,1356.063745,0.0,0.0
2023-06-06,956.4907132022373,1843.88,543.7333333333332,941.0202702702702,778.2542236285427,4123.773333333333,-952.2533333333331,571.2271021021022,140.08958068034374,1068.267717,0.0,0.0
2023-06-07,1031.6916743402712,4807.2266666666665,491.5466666666666,826.0999999999999,1128.3589488515356,4741.810810810811,-344.94520547945206,842.3347222222221,17.549546000666666,203.2648221,0.0,0.0
2023-06-08,975.3425853649702,2100.7866666666664,554.12,930.1661261261258,350.57443240291747,4143.333333333333,-1266.2933333333333,425.005945945946,243.4683815935556,1256.792969,0.0,0.0
2023-06-09,1388.3284139500915,3991.2933333333326,497.78666666666663,1032.4318421052633,292.44615109444027,4072.6216216216217,-1005.2933333333332,422.7724999999999,220.67033990043058,1236.079681,0.0,0.0
2023-06-10,1062.3345354071175,2166.986666666666,588.9466666666666,1000.1799999999998,153.44911615233138,981.3972602739726,-1010.6133333333332,377.88666666666666,134.55482317079515,1240.246032,0.0,0.0
2023-06-11,1079.3918929436556,4184.2,491.56,983.3199999999998,154.03123064153866,780.04,-1007.030303030303,374.96666666666664,120.81708391540626,1303.527559,0.0,0.0
2023-06-12,1542.0182051404472,3758.373333333333,575.1466666666666,1189.5533333333333,525.3868827218947,4377.586666666666,-1004.9189189189188,530.5727777777778,135.3187328611979,1269.83871,0.0,0.0
2023-06-13,1538.6575427602309,5963.68,655.4666666666666,1369.4866666666667,688.795152281129,4629.054054054054,-1006.0666666666666,705.2466666666667,143.2606514007361,1206.350394,0.0,0.0
2023-06-14,1151.5913197612726,3397.9466666666663,565.6666666666666,1035.7266666666665,859.0816023661266,4984.287671232877,-999.1285714285714,838.3093150684931,162.287075508,1179.397638,0.0,0.0
2023-06-15,1209.4819414315632,3887.2266666666665,560.2933333333333,972.2466666666666,1161.3439467508806,4785.066666666667,-969.9733333333331,1044.6666666666665,59.55643035058333,754.9338521,0.0,0.0
2023-06-16,1495.7607782618145,4214.12,496.12,1100.0466666666666,507.0272576998067,4707.72,-1007.5479452054794,690.6462301587301,244.51256695932292,1194.019763,0.0,0.0
2023-06-17,1270.0912181189647,3452.12,610.4,1157.8133333333333,420.8837008481205,4698.6,-1028.958904109589,491.1957556147697,237.60955146754512,1258.384314,0.0,0.0
2023-06-18,1338.7091696136927,4323.053333333332,495.72,1167.9066666666665,600.1139088487972,4693.64,-1004.8666666666666,504.5533333333333,253.36578734607642,1283.29249,0.0,0.0
2023-06-19,1799.355341111235,6573.266666666666,770.4266666666665,1260.12,836.617594635337,4431.554054054054,-1006.0694444444443,847.3337837837837,210.38675027619098,1388.646825,0.0,0.0
2023-06-20,1127.8745570143274,4105.12,652.9866666666667,1023.3399999999999,1086.5732654353437,5147.213333333333,-1003.4133333333332,1385.2136936936936,127.15440124198959,1242.604743,0.0,0.0
2023-06-21,1213.7293359599853,4191.026315789473,547.2368421052632,977.7599999999998,578.4263081369737,4223.611111111111,-1057.3918918918919,395.3014912280702,259.2609134676736,1236.243137,0.0,0.0
2023-06-22,1593.9363512420912,3512.7866666666664,612.36,1684.5133333333333,393.53352006175567,4173.826666666667,-1073.2432432432431,457.37837837837833,111.93601124088889,1554.917323,0.0,0.0
2023-06-23,1317.8011059908592,5717.2266666666665,475.98648648648646,1002.6733333333332,1029.3312727849886,4868.466666666666,-1000.2162162162163,1042.2658250355619,71.5390333818264,737.5960784,0.0,0.0
2023-06-24,982.4973549207102,2130.9333333333334,547.8666666666667,939.9199999999998,775.8977600468623,4284.666666666666,-1008.2297297297296,504.4916666666666,210.56968181474653,1311.309524,0.0,0.0
2023-06-25,1423.4339298179757,5363.105263157895,494.78666666666663,998.3399999999999,930.7537899309177,4888.56,-716.2666666666667,917.2369322278298,101.77588041864584,758.0846774,0.0,0.0
2023-06-26,1712.3338874236078,6045.546666666666,574.3333333333333,1325.5133333333333,426.0779246078726,4751.026666666667,-1027.957746478873,512.7274693583272,214.01844980817708,1300.652174,0.0,0.0
2023-06-27,1129.3918354868026,4382.173333333333,502.18666666666667,976.4200000000001,659.0802991519654,4582.72602739726,-1019.0266666666666,903.0892237442922,162.62113460036804,1143.083004,0.0,0.0
2023-06-28,2106.7228981283915,5438.786666666666,620.5866666666666,1805.3933333333332,1045.2005517046834,4916.77027027027,-134.44594594594594,900.4,60.23848297179862,444.4257813,0.0,0.0
2023-06-29,1715.4767698455032,5520.386666666666,538.9333333333333,1026.3466666666666,753.1841335252492,4637.1466666666665,-991.0555555555555,761.4457534246576,99.5276633103368,1113.513944,0.0,0.0
2023-06-30,797.6330821775723,1439.3552631578948,481.32,731.595225225225,898.0902170170057,4467.53947368421,-984.6486486486486,819.6747747747747,93.88471340356597,793.5393701,0.0,0.0
2023-07-01,850.6171820547478,1680.0666666666666,539.9066666666666,790.4533333333333,1143.062835020079,4579.1866666666665,-1014.5066666666665,897.7860051832654,136.37962577972223,1342.681102,0.0,0.0
2023-07-02,810.0737535891153,2099.9333333333334,495.6133333333333,748.3788288288288,1070.059347441686,4206.3378378378375,-1002.162162162162,617.2620175438597,105.94935350850348,1287.551181,0.0,0.0
2023-07-03,1349.627411358727,7181.013333333332,465.12,892.4533333333333,806.4821210280056,4157.256756756757,-999.0273972602739,788.4933333333333,86.72733648331597,591.8932806,0.0,0.0
2023-07-04,1240.382992976529,3286.12,562.6266666666667,1057.8663963963963,1127.5290868604095,4183.026666666667,-597.6133333333332,1013.5624768604221,46.39017690280208,670.6614173,0.0,0.0
2023-07-05,1079.961745544887,3630.315789473684,469.44,808.4266666666665,917.7286352518105,4670.1973684210525,-997.2465753424656,985.5997297297297,95.78921192111153,931.3864542,0.0,0.0
2023-07-06,1300.4321948264053,5939.04,519.0,922.9199999999998,735.9603656454767,4113.853333333333,-1002.0133333333332,390.47222222222223,66.8442020215,926.5433071,0.0,0.0
2023-07-07,1148.6720837120015,6696.546666666666,461.5466666666666,813.22,70.73418779951643,3878.1111111111113,-1503.32,318.85036036036036,209.38195856929514,1189.367589,0.0,0.0
2023-07-08,1099.3658282789368,3583.1891891891887,495.7702702702703,881.5466666666666,858.4529514586817,4743.135135135135,-1494.2027027027027,815.7466666666666,200.27993003629166,1325.280632,0.0,0.0
2023-07-09,1101.458144526908,4935.32,486.4210526315789,899.3399999999999,405.11161402359323,3872.16,-1502.7027027027027,422.3646846846847,155.27073063131598,1404.324,0.0,0.0
2023-07-10,941.142615905379,4614.666666666666,490.28,731.9200000000001,241.67811928362323,5797.906666666667,-1635.2702702702702,357.08277027027026,168.14615744367015,1334.232283,0.0,0.0
2023-07-11,859.8319395662387,2407.216216216216,487.9733333333333,748.52,5.342261165588969,1860.0533333333333,-1507.972972972973,315.3067579908676,199.97256992550348,1281.16996,0.0,0.0
2023-07-12,951.4203547813415,3824.853333333333,436.14666666666665,829.0533333333333,844.6868553654208,5007.4473684210525,-1515.3698630136987,821.8,220.595432451375,1319.393701,0.0,0.0
2023-07-13,1004.5962824996049,3581.8815789473683,442.72,751.3999999999999,518.9687269841747,3894.7733333333326,-1500.4533333333331,386.3133333333333,202.03873088431249,1109.368217,0.0,0.0
2023-07-14,1339.3902407980027,4652.626666666666,445.4210526315789,1109.5972072072072,897.3180416074117,6030.378378378377,-1000.945945945946,717.7369863013698,119.42006100508681,941.3690476,0.0,0.0
2023-07-15,1282.1564043648912,6939.8933333333325,451.5333333333333,935.0066666666665,1032.0245701976937,4374.13698630137,-212.90410958904107,948.44,47.52216378020833,577.438247,0.0,0.0
2023-07-16,1285.9334259317611,5826.76,456.70666666666665,882.2163063063063,462.9609660416588,4191.373333333333,-1505.7837837837835,435.31975637609446,239.0516978024549,1341.904762,0.0,0.0
2023-07-17,1274.2194786288585,7506.945945945948,406.2972972972973,775.446126126126,237.34723376966218,4050.2,-1660.72,395.62,287.69824664027084,1213.328063,0.0,0.0
2023-07-18,1276.592180771753,3881.64,438.0933333333333,1029.4215789473683,487.76055215915363,4034.608108108108,-1507.0263157894735,439.46027027027026,146.13318739969097,1255.222656,0.0,0.0
2023-07-19,1309.8149682083397,5313.52,414.90666666666664,895.9127927927927,1050.4864291967003,6722.36,-1502.92,1087.5700000000002,247.11247714148956,1251.912698,0.0,0.0
2023-07-20,1287.0778082715044,3750.7733333333326,439.34666666666664,937.6399999999999,732.388468037023,4579.573333333333,-1502.3108108108108,902.7763963963962,110.77692530929862,1255.063492,0.0,0.0
